0-2  <  (470,201) (499,201) (500,202) (500,299) (499,300) (402,300) (401,299) (401,202) (402,201) > 
1-5  <  (751,301) (799,301) (800,302) (800,399) (799,400) (702,400) (701,399) (701,302) (702,301) > 
0-1  <  (378,201) (399,201) (400,202) (400,299) (399,300) (302,300) (301,299) (301,202) (302,201) > 
1-4  <  (654,301) (699,301) (700,302) (700,399) (699,400) (602,400) (601,399) (601,302) (602,301) > 
0-4  <  (673,201) (699,201) (700,202) (700,299) (699,300) (602,300) (601,299) (601,202) (602,201) > 
1-7  <  (957,301) (999,301) (1000,302) (1000,399) (999,400) (902,400) (901,399) (901,302) (902,301) > 
0-3  <  (567,201) (599,201) (600,202) (600,299) (599,300) (502,300) (501,299) (501,202) (502,201) > 
1-6  <  (860,301) (899,301) (900,302) (900,399) (899,400) (802,400) (801,399) (801,302) (802,301) > 
0-0  <  (210,201) (299,201) (300,202) (300,299) (299,300) (202,300) (201,299) (201,202) (202,201) > 
1-1  <  (326,301) (399,301) (400,302) (400,399) (399,400) (302,400) (301,399) (301,302) (302,301) > 
0-6  <  (838,201) (899,201) (900,202) (900,299) (899,300) (802,300) (801,299) (801,202) (802,201) > 
1-0  <  (264,301) (299,301) (300,302) (300,399) (299,400) (202,400) (201,399) (201,302) (202,301) > 
0-5  <  (780,201) (799,201) (800,202) (800,299) (799,300) (702,300) (701,299) (701,202) (702,201) > 
1-3  <  (553,301) (599,301) (600,302) (600,399) (599,400) (502,400) (501,399) (501,302) (502,301) > 
1-2  <  (438,301) (499,301) (500,302) (500,399) (499,400) (402,400) (401,399) (401,302) (402,301) > 
0-7  <  (963,201) (999,201) (1000,202) (1000,299) (999,300) (902,300) (901,299) (901,202) (902,201) > 
3-1  <  (309,501) (399,501) (400,502) (400,599) (399,600) (302,600) (301,599) (301,502) (302,501) > 
2-6  <  (848,401) (899,401) (900,402) (900,499) (899,500) (802,500) (801,499) (801,402) (802,401) > 
5-4  <  (650,701) (699,701) (700,702) (700,799) (699,800) (602,800) (601,799) (601,702) (602,701) > 
2-5  <  (791,401) (799,401) (800,402) (800,499) (799,500) (702,500) (701,499) (701,402) (702,401) > 
3-0  <  (271,501) (299,501) (300,502) (300,599) (299,600) (202,600) (201,599) (201,502) (202,501) > 
5-5  <  (795,701) (799,701) (800,702) (800,799) (799,800) (702,800) (701,799) (701,702) (702,701) > 
2-4  <  (673,401) (699,401) (700,402) (700,499) (699,500) (602,500) (601,499) (601,402) (602,401) > 
5-6  <  (851,701) (899,701) (900,702) (900,799) (899,800) (802,800) (801,799) (801,702) (802,701) > 
2-3  <  (514,401) (599,401) (600,402) (600,499) (599,500) (502,500) (501,499) (501,402) (502,401) > 
5-7  <  (979,701) (999,701) (1000,702) (1000,799) (999,800) (902,800) (901,799) (901,702) (902,701) > 
5-0  <  (270,701) (299,701) (300,702) (300,799) (299,800) (202,800) (201,799) (201,702) (202,701) > 
5-1  <  (329,701) (399,701) (400,702) (400,799) (399,800) (302,800) (301,799) (301,702) (302,701) > 
7-7  <  (971,901) (999,901) (1000,902) (1000,999) (999,1000) (902,1000) (901,999) (901,902) (902,901) > 
5-2  <  (458,701) (499,701) (500,702) (500,799) (499,800) (402,800) (401,799) (401,702) (402,701) > 
7-6  <  (894,901) (899,901) (900,902) (900,999) (899,1000) (802,1000) (801,999) (801,902) (802,901) > 
2-7  <  (953,401) (999,401) (1000,402) (1000,499) (999,500) (902,500) (901,499) (901,402) (902,401) > 
4-0  <  (274,601) (299,601) (300,602) (300,699) (299,700) (202,700) (201,699) (201,602) (202,601) > 
5-3  <  (579,701) (599,701) (600,702) (600,799) (599,800) (502,800) (501,799) (501,702) (502,701) > 
4-1  <  (379,601) (399,601) (400,602) (400,699) (399,700) (302,700) (301,699) (301,602) (302,601) > 
4-2  <  (450,601) (499,601) (500,602) (500,699) (499,700) (402,700) (401,699) (401,602) (402,601) > 
3-7  <  (914,501) (999,501) (1000,502) (1000,599) (999,600) (902,600) (901,599) (901,502) (902,501) > 
4-3  <  (582,601) (599,601) (600,602) (600,699) (599,700) (502,700) (501,699) (501,602) (502,601) > 
6-7  <  (960,801) (999,801) (1000,802) (1000,899) (999,900) (902,900) (901,899) (901,802) (902,801) > 
3-6  <  (839,501) (899,501) (900,502) (900,599) (899,600) (802,600) (801,599) (801,502) (802,501) > 
4-4  <  (659,601) (699,601) (700,602) (700,699) (699,700) (602,700) (601,699) (601,602) (602,601) > 
2-2  <  (484,401) (499,401) (500,402) (500,499) (499,500) (402,500) (401,499) (401,402) (402,401) > 
3-5  <  (750,501) (799,501) (800,502) (800,599) (799,600) (702,600) (701,599) (701,502) (702,501) > 
4-5  <  (759,601) (799,601) (800,602) (800,699) (799,700) (702,700) (701,699) (701,602) (702,601) > 
2-1  <  (371,401) (399,401) (400,402) (400,499) (399,500) (302,500) (301,499) (301,402) (302,401) > 
3-4  <  (667,501) (699,501) (700,502) (700,599) (699,600) (602,600) (601,599) (601,502) (602,501) > 
4-6  <  (826,601) (899,601) (900,602) (900,699) (899,700) (802,700) (801,699) (801,602) (802,601) > 
2-0  <  (275,401) (299,401) (300,402) (300,499) (299,500) (202,500) (201,499) (201,402) (202,401) > 
3-3  <  (554,501) (599,501) (600,502) (600,599) (599,600) (502,600) (501,599) (501,502) (502,501) > 
4-7  <  (955,601) (999,601) (1000,602) (1000,699) (999,700) (902,700) (901,699) (901,602) (902,601) > 
3-2  <  (486,501) (499,501) (500,502) (500,599) (499,600) (402,600) (401,599) (401,502) (402,501) > 
6-0  <  (232,801) (299,801) (300,802) (300,899) (299,900) (202,900) (201,899) (201,802) (202,801) > 
6-1  <  (370,801) (399,801) (400,802) (400,899) (399,900) (302,900) (301,899) (301,802) (302,801) > 
6-2  <  (461,801) (499,801) (500,802) (500,899) (499,900) (402,900) (401,899) (401,802) (402,801) > 
6-3  <  (556,801) (599,801) (600,802) (600,899) (599,900) (502,900) (501,899) (501,802) (502,801) > 
6-4  <  (656,801) (699,801) (700,802) (700,899) (699,900) (602,900) (601,899) (601,802) (602,801) > 
6-5  <  (784,801) (799,801) (800,802) (800,899) (799,900) (702,900) (701,899) (701,802) (702,801) > 
6-6  <  (864,801) (899,801) (900,802) (900,899) (899,900) (802,900) (801,899) (801,802) (802,801) > 
7-2  <  (456,901) (499,901) (500,902) (500,999) (499,1000) (402,1000) (401,999) (401,902) (402,901) > 
7-3  <  (579,901) (599,901) (600,902) (600,999) (599,1000) (502,1000) (501,999) (501,902) (502,901) > 
7-4  <  (676,901) (699,901) (700,902) (700,999) (699,1000) (602,1000) (601,999) (601,902) (602,901) > 
7-5  <  (775,901) (799,901) (800,902) (800,999) (799,1000) (702,1000) (701,999) (701,902) (702,901) > 
7-0  <  (278,901) (299,901) (300,902) (300,999) (299,1000) (202,1000) (201,999) (201,902) (202,901) > 
7-1  <  (327,901) (399,901) (400,902) (400,999) (399,1000) (302,1000) (301,999) (301,902) (302,901) > 
